Pos. [°2?],Intensity [Counts],,,
24.3079,7731.5451,,,
24.3299,6602.1479,,,
24.3519,5640.4714,,,
24.3739,4888.6363,,,
24.3959,4613.6656,,,
24.4179,4581.2526,,,
24.4399,4565.8717,,,
24.4619,4521.8376,,,
24.4839,4452.4424,,,
24.5059,4371.7609,,,
24.5279,4330,,,
24.5499,4123.2551,,,
24.5719,3977.1593,,,
24.5939,4055.6905,,,
24.6159,4120.0718,,,
24.6379,4102.5752,,,
24.6599,4081.0295,,,
24.6819,4022.8799,,,
24.7039,3987.3569,,,
24.7259,3977.3913,,,
24.7479,4011.3821,,,
24.7699,3934.5662,,,
24.7919,3902.9518,,,
24.8139,3970.772,,,
24.8359,3832.1044,,,
24.8579,3880.4034,,,
24.8799,3727.9622,,,
24.9019,3744.5518,,,
24.9239,3777.2341,,,
24.9459,3840.3276,,,
24.9679,3771.8804,,,
24.9899,3814.5517,,,
25.0119,3729.4438,,,
25.0339,3762.0237,,,
25.0559,3716.7585,,,
25.0779,3681.2723,,,
25.0999,3664.3495,,,
25.1219,3674.0679,,,
25.1439,3656.3077,,,
25.1659,3648.3717,,,
25.1879,3636.4897,,,
25.2099,3499.0204,,,
25.2319,3550.0915,,,
25.2539,3468.3263,,,
25.2759,3451.3009,,,
25.2979,3489.2096,,,
25.3199,3592.5176,,,
25.3419,3551.3973,,,
25.3639,3598.0309,,,
25.3859,3535.7228,,,
25.4079,3572.5747,,,
25.4299,3575.8849,,,
25.4519,3544.293,,,
25.4739,3532.3796,,,
25.4959,3558.1388,,,
25.5179,3618.8909,,,
25.5399,3661.8702,,,
25.5619,3693.0179,,,
25.5839,3843.913,,,
25.6059,4041.7747,,,
25.6279,3977.385,,,
25.6499,3948.2712,,,
25.6719,3850.852,,,
25.6939,3812.8936,,,
25.7159,3647.5384,,,
25.7379,3474.6676,,,
25.7599,3434.2033,,,
25.7819,3343.9479,,,
25.8039,3388.1546,,,
25.8259,3428.5426,,,
25.8479,3361.9027,,,
25.8699,3345.7619,,,
25.8919,3306.5104,,,
25.9139,3329.528,,,
25.9359,3335.8378,,,
25.9579,3347.2035,,,
25.9799,3328.8201,,,
26.0019,3333.1022,,,
26.0239,3330.705,,,
26.0459,3393.5194,,,
26.0679,3367.3073,,,
26.0899,3279.4397,,,
26.1119,3333.9838,,,
26.1339,3302.5692,,,
26.1559,3249.5,,,
26.1779,3231.7787,,,
26.1999,3223.5246,,,
26.2219,3247.6225,,,
26.2439,3227.3617,,,
26.2659,3247.8999,,,
26.2879,3250.9851,,,
26.3099,3190.9399,,,
26.3319,3205.4981,,,
26.3539,3295.9471,,,
26.3759,3332.3938,,,
26.3979,3292.7934,,,
26.4199,3268.7625,,,
26.4419,3147.5788,,,
26.4639,3122.2921,,,
26.4859,3161.8998,,,
26.5079,3094.6709,,,
26.5299,3129.0592,,,
26.5519,3138.2477,,,
26.5739,3222.6915,,,
26.5959,3195.5883,,,
26.6179,3178.0325,,,
26.6399,3199.8009,,,
26.6619,3201.3038,,,
26.6839,3215.1048,,,
26.7059,3359.4664,,,
26.7279,3331.5323,,,
26.7499,3269.7521,,,
26.7719,3258.3117,,,
26.7939,3326.5154,,,
26.8159,3291.9571,,,
26.8379,3240.9488,,,
26.8599,3151.0283,,,
26.8819,3176.3187,,,
26.9039,3309.4236,,,
26.9259,3121.0094,,,
26.9479,3253.9693,,,
26.9699,3256.3166,,,
26.9919,3138.0184,,,
27.0139,3245.6462,,,
27.0359,3198.4178,,,
27.0579,3037.2991,,,
27.0799,3113.357,,,
27.1019,3133.5171,,,
27.1239,3078.4295,,,
27.1459,2972.3275,,,
27.1679,2997.177,,,
27.1899,3012.4464,,,
27.2119,3007.6758,,,
27.2339,3133.6261,,,
27.2559,3038.1738,,,
27.2779,3145.2007,,,
27.2999,3175.2954,,,
27.3219,3152.7199,,,
27.3439,3219.7433,,,
27.3659,3200.6401,,,
27.3879,3222.2267,,,
27.4099,3260.5959,,,
27.4319,3267.9859,,,
27.4539,3272.7666,,,
27.4759,3121.1504,,,
27.4979,3133.2293,,,
27.5199,3151.4038,,,
27.5419,3001.0529,,,
27.5639,2950.739,,,
27.5859,3004.9737,,,
27.6079,3032.8492,,,
27.6299,2956.9963,,,
27.6519,3078.214,,,
27.6739,3149.9234,,,
27.6959,3194.7395,,,
27.7179,3184.0253,,,
27.7399,3120.3939,,,
27.7619,3140.178,,,
27.7839,3156.0576,,,
27.8059,3179.593,,,
27.8279,3175.2399,,,
27.8499,3114.93,,,
27.8719,3056.6607,,,
27.8939,3074.3757,,,
27.9159,3172.1433,,,
27.9379,3174.628,,,
27.9599,3071.5122,,,
27.9819,3122.1449,,,
28.0039,3190.6106,,,
28.0259,3174.6499,,,
28.0479,3171.5703,,,
28.0699,3196.4956,,,
28.0919,3263.1821,,,
28.1139,3310.6903,,,
28.1359,3336.7921,,,
28.1579,3307.5613,,,
28.1799,3360.8474,,,
28.2019,3439.7966,,,
28.2239,3565.4792,,,
28.2459,3591.9557,,,
28.2679,3461.4097,,,
28.2899,3418.768,,,
28.3119,3467.6806,,,
28.3339,3407.867,,,
28.3559,3350.023,,,
28.3779,3311.8269,,,
28.3999,3277.1283,,,
28.4219,3224.5731,,,
28.4439,3259.2528,,,
